club_id,team_name,season_id,competition_name,competition_id,club_division,_last_modified_at
1005,US Lecce (1005),2024,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2012,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2023,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2005,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2006,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2010,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2014,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2022,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2015,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2011,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2017,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2018,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2013,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2020,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2015,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2023,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2025,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2013,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2009,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2019,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2014,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2000,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2006,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2002,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2016,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2007,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2017,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2004,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2010,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2001,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2003,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2008,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2021,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2012,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2005,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2011,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2024,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2002,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2010,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2000,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2009,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2005,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2008,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2004,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2003,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2020,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2025,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2018,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2024,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2019,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2022,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2016,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2001,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2023,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2015,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2012,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2006,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2017,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2013,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2014,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2008,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2022,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2025,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2011,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2003,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2010,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2000,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2021,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2012,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2004,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2009,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2002,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2007,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2005,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2016,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2006,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2024,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2019,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2017,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2020,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2018,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2014,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2015,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2013,Serie A,IT1,Serie A,2025-09-13 09:22:41
1005,US Lecce (1005),2023,Serie A,IT1,Serie A,2025-09-13 09:22:41
1025,Bologna FC 1909 (1025),2025,Serie A,IT1,Serie A,2025-09-13 09:04:14
1025,Bologna FC 1909 (1025),2023,Serie A,IT1,Serie A,2025-09-13 09:04:14
1025,Bologna FC 1909 (1025),2024,Serie A,IT1,Serie A,2025-09-13 09:04:14
1025,Bologna FC 1909 (1025),2020,Serie A,IT1,Serie A,2025-09-13 09:04:14
1025,Bologna FC 1909 (1025),2021,Serie A,IT1,Serie A,2025-09-13 09:04:14
1025,Bologna FC 1909 (1025),2025,Serie A,IT1,Serie A,2025-09-13 09:04:14
1025,Bologna FC 1909 (1025),2022,Serie A,IT1,Serie A,2025-09-13 09:04:14
1025,Bologna FC 1909 (1025),2021,Serie A,IT1,Serie A,2025-09-13 09:04:14
1025,Bologna FC 1909 (1025),2020,Serie A,IT1,Serie A,2025-09-13 09:04:14
1025,Bologna FC 1909 (1025),2023,Serie A,IT1,Serie A,2025-09-13 09:04:14
1025,Bologna FC 1909 (1025),2024,Serie A,IT1,Serie A,2025-09-13 09:04:14
1025,Bologna FC 1909 (1025),2002,Serie A,IT1,Serie A,2025-09-13 09:04:14
1025,Bologna FC 1909 (1025),2000,Serie A,IT1,Serie A,2025-09-13 09:04:14
1025,Bologna FC 1909 (1025),2025,Serie A,IT1,Serie A,2025-09-13 09:04:14
1025,Bologna FC 1909 (1025),2015,Serie A,IT1,Serie A,2025-09-13 09:04:14
1025,Bologna FC 1909 (1025),2005,Serie A,IT1,Serie A,2025-09-13 09:04:14
1025,Bologna FC 1909 (1025),2003,Serie A,IT1,Serie A,2025-09-13 09:04:14
1025,Bologna FC 1909 (1025),2012,Serie A,IT1,Serie A,2025-09-13 09:04:14
1025,Bologna FC 1909 (1025),2022,Serie A,IT1,Serie A,2025-09-13 09:04:14
1025,Bologna FC 1909 (1025),2017,Serie A,IT1,Serie A,2025-09-13 09:04:14
1025,Bologna FC 1909 (1025),2018,Serie A,IT1,Serie A,2025-09-13 09:04:14
1025,Bologna FC 1909 (1025),2016,Serie A,IT1,Serie A,2025-09-13 09:04:14
1025,Bologna FC 1909 (1025),2014,Serie A,IT1,Serie A,2025-09-13 09:04:14
